,dimensions,weight,url,price,reviews,subDepartment,department,departmentRank,name,xs,l,w,h,lbs
605,1.2 x 1.8 x 4.5 inches,0.8 ounces,http://www.amazon.com/Victorinox-Super-Tinker-Swiss-Knife/dp/B008VTQ23G,29.99,401.0,Sports & Fitness,Sports & Outdoors,1044.0,Victorinox Swiss Army Super Tinker Pocket Knife,2,1.2,1.8,4.5,0.05
663,8 x 7 x 1 inches,8.5 ounces,http://www.amazon.com/Mountain-House-Granola-Milk-Blueberries/dp/B00SHENKOE,31.95,121.0,Outdoor Recreation,Sports & Outdoors,1865.0,"Mountain House, Granola with Milk & Blueberries",2,8,7,1,0.53125
669,10 x 8 x 3 inches,5.6 ounces,http://www.amazon.com/Mountain-House-Spaghetti-Meat-Sauce/dp/B00SHCXJ2O,24.4,140.0,Outdoor Recreation,Sports & Outdoors,1620.0,"Mountain House, Spaghetti with Meat Sauce",2,10,8,3,0.35
698,21 x 17 x 0.3 inches,11.2 ounces,http://www.amazon.com/EZ-Drinker-Drink-Vest-12-Pack/dp/B00H25IV8Y,17.99,18.0,Outdoor Recreation,Sports & Outdoors,3374.0,"EZ Drinker Drink Vest, 12-Pack",2,21,17,0.3,0.7
769,2.9 x 2.9 x 1.8 inches,0.3 ounces,http://www.amazon.com/Solo-Alcohol-Burner-Backpacking-Camping/dp/B008VZ91WO,18.99,113.0,Outdoor Recreation,Sports & Outdoors,8938.0,"Solo Alcohol Burner - Spirit Alcohol Stove for Backpacking, Camping, Hiking or Use With Solo Stove.",2,2.9,2.9,1.8,0.01875
806,4.5 x 4.5 x 4.5 inches,8 ounces,http://www.amazon.com/Esbit-CS585HA-3-Piece-Lightweight-Camping/dp/B001UERXOQ,23.42,242.0,Outdoor Recreation,Sports & Outdoors,4560.0,Esbit CS585HA 3-Piece Lightweight Camping Cook Set for Use with Solid Fuel Tablets,2,4.5,4.5,4.5,0.5
827,8 x 3 x 3 inches,8 ounces,http://www.amazon.com/Hydro-Flask-Insulated-Stainless-Standard/dp/B004IZQ7TQ,21.99,432.0,Sports & Fitness,Sports & Outdoors,514.0,"Hydro Flask Vacuum Insulated Stainless Steel Water Bottle, Standard Mouth",2,8,3,3,0.5
861,1.4 x 1.4 x 7.1 inches,4 ounces,http://www.amazon.com/Survivor-Filter%C2%AE-Filtration-Preparedness-Travelling/dp/B00LA97I8M,29.95,285.0,Outdoor Recreation,Sports & Outdoors,791.0,"Survivor Filter® - LIFETIME WARRANTY* - Triple Absolute Filtration to 0.05 Microns. Highest Filtration Level Available on the Market today thanks to Ultra, Carbon, and Particle Filter. Chemical Free. Replaces 1000 plastic water bottles (264 Gallons) then Filters can be Cleaned or Replaced with Ease. Durable but Weighs Only 3.5 Ounces and Attaches Securely to many Hydration Systems, Including the Survivor Filter® Canteens Without Leaking. Ideal for your Bug-out Survival Bag, Emergency Preparedness, Travelling, Camping and Fishing!",2,1.4,1.4,7.1,0.25
883,4.1 x 3.5 x 9.4 inches,6.4 ounces,http://www.amazon.com/Brita-Filter-Bottle-34-Ounce-Chevron/dp/B00IHVIBO6,16.99,265.0,Sports & Fitness,Sports & Outdoors,1065.0,"Brita Hard Sided Water Filter Bottle, 34-Ounce, Chevron (Design May Vary)",2,4.1,3.5,9.4,0.4
914,10.8 x 5.8 x 3.9 inches,9.6 ounces,http://www.amazon.com/Camco-59333-Horizontal-Propane-Regulator/dp/B0024E6TX2,22.99,141.0,Outdoor Recreation,Sports & Outdoors,4389.0,Camco 59333 Horizontal Two Stage Propane Regulator with POL,2,10.8,5.8,3.9,0.6
