dimensions,weight,url,price,reviews,subDepartment,department,departmentRank,name
20.1 x 17.7 x 20.1 inches,44 pounds,http://www.amazon.com/Danby-DAR017A2BDD-Compact-Refrigerator-Cubic/dp/B00O2N3JDG,$99.00,991,Refrigerators,Appliances,6,"Danby DAR017A2BDD Compact All Refrigerator, 1.7 Cubic Feet, Black"
3.2 x 3.2 x 5 inches,11.7 ounces,http://www.amazon.com/MWF-SmartWater-Compatible-Filter-Cartridge/dp/B00KJ07SEM,$24.99,"1,359",Parts & Accessories,Appliances,1,GE MWF SmartWater Compatible Water Filter Cartridge - Refrigerator
,1.8 pounds,http://www.amazon.com/UKF8001-Puriclean-4396395-Comparable-Tier1/dp/B00JGUG8WY,$38.49,52,Parts & Accessories,Appliances,78,UKF8001 Puriclean II 4396395 9006 Comparable Filter RWF1040 By Tier1 - 3 Pack
1 x 2 x 1 inches,3.2 ounces,http://www.amazon.com/General-Electric-RPWFE-RPWF-Refrigerator/dp/B009PCI2JU,$46.50,212,Parts & Accessories,Appliances,2,General Electric RPWFE/RPWF Refrigerator Water Filter
6 x 3.4 x 3.4 inches,15.2 ounces,http://www.amazon.com/OnePurify-Replacement-Cartridge-Sentinel-Hotpoint/dp/B00K1LRDXK,$50.99,85,Parts & Accessories,Appliances,77,"3-pack OnePurify MWF Water Filter Replacement Cartridge for Kenmore, GE, Aqua Fresh, Swift Green, Water Sentinel, Brita, Hotpoint"
13 x 14 x 35 inches,31 pounds,http://www.amazon.com/NewAir-WCD-200W-Water-Cooler-White/dp/B00KNL7RG6,$125.99,155,Beverage Refrigerators,Appliances,76,"NewAir WCD-200W Hot and Cold Water Cooler, White"
2 x 1 x 1 inches,1.6 ounces,http://www.amazon.com/Broan-HCK44-Power-individual-display/dp/B001E6LAT4,$7.97,84,Parts & Accessories,Appliances,74,Broan HCK44 Power Cord Kit on individual display card
20.3 x 26 x 9.9 inches,31.3 pounds,http://www.amazon.com/Haier-12-Bottle-Curved-Smoked-Cellar/dp/B00DNSO2UK,$189.32,457,Kitchen & Dining,Home & Kitchen,75,Haier 12-Bottle Dual Zone Curved Door with Smoked Glass Wine Cellar
19.7 x 21.6 x 17.2 inches,58 pounds,http://www.amazon.com/Danby-DDW611WLED-Countertop-Dishwasher-White/dp/B0052FXC9Y,$206.99,,Dishwashers,Appliances,73,Danby DDW611WLED Countertop Dishwasher - White
22.2 x 25 x 33.1 inches,69.5 pounds,http://www.amazon.com/Danby-DCF038A1WDB1-Chest-Freezer-Cubic/dp/B00O2N4GRE,$199.99,44,Freezers,Appliances,72,"Danby DCF038A1WDB1 Chest Freezer, 3.8 Cubic Feet, White"
17.7 x 18.6 x 19.4 inches,35.3 pounds,http://www.amazon.com/WHS-65LB1-Compact-Reversible-Refrigerator-Freezer/dp/B00MVVI1FC,$110.70,95,Refrigerators,Appliances,71,"midea WHS-65LB1 Compact Single Reversible Door Refrigerator and Freezer, 1.6 Cubic Feet, Black"
32.8 x 18.5 x 19.5 inches,11.2 ounces,http://www.amazon.com/GE-JVM7195SFSS-Stainless-Range-Microwave/dp/B00ENOTM94,$324.92,29,Kitchen & Dining,Home & Kitchen,68,GE JVM7195SFSS 1.9 Cu. Ft. Stainless Steel Over-the-Range Microwave
2.2 x 2.5 x 8.5 inches,11.2 ounces,http://www.amazon.com/MSWF-Compatible-Water-Filter-Refrigerator/dp/B00SNLLYXK,$23.99,29,Parts & Accessories,Appliances,70,GE MSWF Compatible Water Filter - Refrigerator
20.3 x 14.1 x 9.9 inches,17.6 pounds,http://www.amazon.com/Haier-6-Bottle-Cellar-Electronic-Controls/dp/B00DNSO1OW,$88.39,457,Kitchen & Dining,Home & Kitchen,67,Haier 6-Bottle Wine Cellar with Electronic Controls
5.9 x 5.6 x 3.3 inches,4.8 ounces,http://www.amazon.com/WHT-DRYER-VENT-WIDE-MOUTH/dp/B00314WY0G,$6.90,60,Parts & Accessories,Appliances,69,"4"" WHT DRYER VENT WIDE MOUTH"
12.1 x 12 x 6.5 inches,3.8 pounds,http://www.amazon.com/EasyGoDryer-Portable-Electric-Drying-Clothes/dp/B00PGFGVB6,$39.77,94,Washers & Dryers,Appliances,64,EasyGoDryer™ - Portable Electric Air Drying Clothes Dryer
