dimensions,weight,url,price,reviews,subDepartment,department,departmentRank,name
7.4 x 4.2 x 0.5 inches,2.4 ounces,http://www.amazon.com/Crayola-Ultraclean-Fineline-Markers-Count/dp/B00IYDM84Q,$1.97,10,Arts & Crafts,Toys & Games,49,Crayola  Ultraclean Fineline Bold Markers (10 Count)
9 x 4.2 x 12 inches,13.6 ounces,http://www.amazon.com/Creativity-for-Kids-1819000-Headbands/dp/B003WFKOSS,$13.99,818,Arts & Crafts,Toys & Games,51,Fashion Headbands
1 x 3.7 x 4.9 inches,6.2 ounces,http://www.amazon.com/Crayola-52-3281-Washable-Crayons-16-pk/dp/B00178LYI6,$3.49,428,Arts & Crafts,Toys & Games,48,Crayola Washable Crayons 16-pk.
16.5 x 22.8 x 24 inches,5.8 pounds,http://www.amazon.com/VTech-Smart-Shots-Sports-Center/dp/B00KG3WYI2,$31.97,187,Action Figures & Statues,Toys & Games,47,VTech Smart Shots Sports Center
0.8 x 2.4 x 9.2 inches,7.2 ounces,http://www.amazon.com/Crayola-Washable-Watercolors-count-53-0525/dp/B000HHKAE2,$1.97,56,Arts & Crafts,Toys & Games,45,"Crayola Washable Watercolors, 8 count (53-0525)"
0.8 x 2.6 x 8.6 inches,3.2 ounces,http://www.amazon.com/Crayola-Twistable-Colored-Pencils-68-7408/dp/B0024IFMUO,$3.61,92,Arts & Crafts,Toys & Games,49,"Crayola Twistable Colored Pencils, 12 count (68-7408)"
5.8 x 4.9 x 1.4 inches,7.2 ounces,http://www.amazon.com/Crayola-Colored-Pencils-Choice-Colors/dp/B00125NZWC,$6.97,201,Arts & Crafts,Toys & Games,44,Crayola 64 Ct Short Colored Pencils Kids Choice Colors
12 x 9 x 1 inches,9.4 ounces,http://www.amazon.com/Melissa-Doug-4108-Drawing-Pad/dp/B000IFZ6LA,$2.99,343,"Painting, Drawing & Art Supplies","Arts, Crafts & Sewing",43,Melissa & Doug Drawing Pad
7.5 x 5 x 5.1 inches,1.2 pounds,http://www.amazon.com/Fisher-Price-Brilliant-Basics-Babys-Blocks/dp/B0089W1IGG,$7.99,"1,724",Learning & Education,Toys & Games,42,Fisher-Price Brilliant Basics Baby's First Blocks
1.6 x 12 x 9 inches,2.5 pounds,http://www.amazon.com/Crayola-Construction-Assorted-Colors-99-3200/dp/B00125Q27M,$4.96,155,Crafting,"Arts, Crafts & Sewing",41,"Crayola Construction Paper, Assorted Colors, 240 Sheet (99-3200)"
13 x 12.6 x 12.2 inches,15 pounds,http://www.amazon.com/Instant-Pot-IP-DUO60-Programmable-Generation/dp/B00FLYWNYQ,$132.45,"3,671",Kitchen & Dining,Home & Kitchen,20,"Instant Pot IP-DUO60 7-in-1 Programmable Pressure Cooker, 6Qt/1000W, Stainless Steel Cooking Pot and Exterior, Latest 3rd Generation Technology"
3.5 x 3.5 x 4.5 inches,4.8 ounces,http://www.amazon.com/Thermos-Ounce-Funtainer-Food-Frozen/dp/B00O4TFDE6,$11.99,95,Kitchen & Dining,Home & Kitchen,18,"Thermos 10 Ounce Funtainer Food Jar, Frozen Pink"
,6.4 ounces,http://www.amazon.com/Professional-Condenser-Microphone-Laptop-Recording/dp/B00K68MT9Q,$14.90,195,Microphones & Accessories,Musical Instruments,61,Professional Condenser Sound Microphone With Stand for PC Laptop Skype Recording Black
1.2 x 3.5 x 5.5 inches,0.3 ounces,http://www.amazon.com/Bostitch-Twist-N-Sharp-Sharpener-Assorted-PS1-ADJ/dp/B00IDVE9UA,$3.99,204,Office & School Supplies,Office Products,40,"Bostitch Twist-N-Sharp  Pencil Sharpener, Assorted Colors (PS1-ADJ)"
0.5 x 8.5 x 11 inches,1 pounds,http://www.amazon.com/Five-Star-Reinforced-Loose-leaf-17102/dp/B00006IDV8,$3.48,220,Office & School Supplies,Office Products,19,"Five Star Reinforced Filler Paper, College Ruled, Loose-leaf, 11 x 8.5 Inch Sheet Size, 100 Sheets/Pack (17102)"
3.5 x 3.5 x 4.5 inches,8 ounces,http://www.amazon.com/Thermos-Ounce-Funtainer-Bottle-Olaf/dp/B00NATRE20,$11.99,"1,049",Kitchen & Dining,Home & Kitchen,17,"Thermos 12 Ounce Funtainer Bottle, Olaf"
1.2 x 3.4 x 5.8 inches,1 ounces,http://www.amazon.com/Sharpie-Point-Permanent-Markers-30001/dp/B00006IFHD,$5.88,807,Office & School Supplies,Office Products,20,"Sharpie Fine Point Permanent Markers, Box of 12 Markers, Black (30001)"
